total_bundle_days,mean_annual_bundle_days,theil_sen_slope_per_year,theil_sen_95_low,theil_sen_95_high,kendall_tau,kendall_p,scenario,mechanism,max_abs_diff_from_original_annual_days,sum_diff_from_original_annual_days
948,37.92,3.03125,1.4,5.125,0.5632770198913287,9.288612720607782e-05,active_denominator_any_coverage,Coherent,,
492,19.68,0.9226190476190477,0.1,1.4736842105263157,0.3193390065900868,0.026272569315460313,active_denominator_any_coverage,Dipole,,
318,12.72,1.0,0.4,1.75,0.5775958979049243,7.710816942139226e-05,active_denominator_min50pct_coverage,Coherent,,
121,4.84,0.5,0.16666666666666666,0.7777777777777778,0.6624066792353863,1.5018847121259795e-05,active_denominator_min50pct_coverage,Dipole,,
168,6.72,0.4142156862745098,0.0,1.0,0.5950486825539993,0.00011928498000036529,active_denominator_min80pct_coverage,Coherent,,
47,1.88,0.0,0.0,0.2,0.5476190476190476,0.0006460726178519129,active_denominator_min80pct_coverage,Dipole,,
315,12.6,0.7100840336134454,0.4,1.5,0.527075155151599,0.0002601883262946582,annual_urban_active_denominator,Coherent,,
193,7.72,0.21825396825396826,-0.14285714285714285,0.5454545454545454,0.18743949856252415,0.19703430402464683,annual_urban_active_denominator,Dipole,,
306,12.24,0.75,0.5,1.5,0.5827664409853024,6.0306204190946014e-05,annual_urban_active_denominator_min50pct_coverage,Coherent,,
94,3.76,0.3717105263157895,0.0,0.5882352941176471,0.6047125938466745,8.741399898586542e-05,annual_urban_active_denominator_min50pct_coverage,Dipole,,
264,10.56,0.7857142857142857,0.25,1.3333333333333333,0.6910233190806424,4.1872474608450756e-06,annual_urban_active_denominator_min80pct_coverage,Coherent,,
70,2.8,0.0,0.0,0.42857142857142855,0.586085262533831,0.0002279747335556076,annual_urban_active_denominator_min80pct_coverage,Dipole,,
281,11.24,0.8,0.36363636363636365,1.4285714285714286,0.6045109225096396,4.170804515831381e-05,fixed_denominator_recomputed,Coherent,0.0,0.0
106,4.24,0.2638888888888889,0.1,0.5882352941176471,0.5237229365663817,0.0005215059932002158,fixed_denominator_recomputed,Dipole,0.0,0.0
691,27.64,1.9666666666666668,0.6666666666666666,3.2666666666666666,0.5103103630798288,0.0004348324782873923,stable_urban_core_active_denominator,Coherent,,
331,13.24,-0.2,-0.6470588235294118,0.2,-0.1632993161855452,0.26053083445397895,stable_urban_core_active_denominator,Dipole,,
307,12.28,0.6666666666666666,0.3333333333333333,1.5625,0.5399923105950029,0.00019402142881397956,stable_urban_core_fixed_denominator,Coherent,,
147,5.88,0.0,-0.3684210526315789,0.2,-0.017159955576364506,0.9065039045155789,stable_urban_core_fixed_denominator,Dipole,,
