setting,mechanism,edge_set,n_pairs,mean_delta,boot95_mean_lo,boot95_mean_hi,wilcoxon_p_greater
D=1,Coherent,all_edges,1405,0.28342091851599277,0.2387240682654348,0.33161055348541757,7.235392421745315e-34
D=1,Coherent,long_range_gt2500km,30,-0.26903275499741236,-0.49687855997433267,-0.0739621569837133,0.9807907911017537
D=1,Dipole,all_edges,71,0.1729493879936111,-0.0264592092379298,0.36708322719893827,0.16643673366280443
D=1,Dipole,long_range_gt2500km,57,0.18702761907326548,-0.038369353769118326,0.43872325939306045,0.2385123358754504
D=3,Coherent,all_edges,1313,0.21388913895041092,0.15635831887852925,0.2664513198591439,2.8045974362327925e-18
D=3,Coherent,long_range_gt2500km,5304,0.014625506548612726,-0.010715591534129362,0.03935266738184369,0.15408440457411954
D=3,Dipole,all_edges,5941,0.009063509413764003,-0.014350527675502269,0.03165774058852832,0.11763749464197926
D=3,Dipole,long_range_gt2500km,5851,0.008935706044028833,-0.014522101340881959,0.032663080008524435,0.19869046802897244
K=1,Coherent,all_edges,1095,0.3145096322206874,0.2656039985121317,0.3717473718989215,1.2454854066548057e-29
K=1,Coherent,long_range_gt2500km,4740,0.007645491248130296,-0.017427039584773693,0.030060721648373645,0.1357611059046938
K=1,Dipole,all_edges,4716,0.003658990110282528,-0.023543476538125982,0.03194353209707358,0.3381474615759551
K=1,Dipole,long_range_gt2500km,4179,0.0027195666093208994,-0.026768278732243325,0.032285420150973194,0.41390460536568574
K=5,Coherent,all_edges,1815,0.18760291098029488,0.14630015763549067,0.22826017810093346,6.448570152482761e-24
K=5,Coherent,long_range_gt2500km,978,0.003519120441410683,-0.04907920142361449,0.05770875562700406,0.21330796343037417
K=5,Dipole,all_edges,2379,0.0717902227926149,0.03385338570888163,0.10652442660069969,0.00015164181440355232
K=5,Dipole,long_range_gt2500km,2121,0.06707725221118181,0.02640385350483816,0.10557999516609406,0.0006001619973672067
Primary,Coherent,all_edges,1510,0.2321848074628028,0.18821022913168303,0.27158594293926924,1.023918047120445e-23
Primary,Coherent,long_range_gt2500km,2085,0.020368940261699598,-0.015518897197363402,0.05687939957565934,0.012628555359631338
Primary,Dipole,all_edges,3349,0.02935550208477413,-0.0038674066044561504,0.061910607159236714,0.05689325897645695
Primary,Dipole,long_range_gt2500km,2998,0.04243863330255595,0.009693214097361591,0.07268608453030573,0.005285592908443325
p<0.001,Coherent,all_edges,1574,0.24565706767255424,0.20284813216708725,0.2864324775565264,1.8337925794764608e-29
p<0.001,Coherent,long_range_gt2500km,1021,0.004140296336135715,-0.04732484588021892,0.05931612188644144,0.18329086017406399
p<0.001,Dipole,all_edges,1646,0.02525731836777194,-0.01526012609368767,0.06686996424232326,0.1270355634645316
p<0.001,Dipole,long_range_gt2500km,1413,0.05066107085893446,0.006291704228370645,0.09948014183548626,0.011596915146157375
p<0.01,Coherent,all_edges,1396,0.23207179852961468,0.1856011510161512,0.2810947498175206,4.0530540834638463e-22
p<0.01,Coherent,long_range_gt2500km,2853,0.025846047885128377,-0.009813474213702506,0.056628717135153564,0.015490120752861597
p<0.01,Dipole,all_edges,4274,0.026741396790046976,-0.0002917855367008686,0.05469135352175909,0.04238770151511573
p<0.01,Dipole,long_range_gt2500km,3934,0.039900053951588146,0.010640613013195717,0.06928019439091361,0.008009377303435976
