network_layer,duration_days,k_days,hot_valid_nodes,cold_valid_nodes,total_pairwise_tests,alpha,candidate_edges_p_lt_alpha,long_range_edges_gt2500km,long_range_percent,median_distance_km,bh_retained_edges_q05,bh_p_cutoff,bh_retained_long_range_edges_gt2500km,edge_count_relative_to_primary
Coherent,1,3,2620,,3430890,0.005,22076,22,0.09965573473455336,253.71667266568514,10752,0.00015664067993945743,0,0.21782373603820498
Dipole,1,3,2620,2620.0,6861780,0.005,519,484,93.25626204238921,9365.45746198025,0,,0,0.03933606184629377
Coherent,2,1,2620,,3430890,0.005,189400,7129,3.763991552270327,448.25973983068513,174611,0.002544570468477847,4497,1.8688084619331413
Dipole,2,1,2620,2620.0,6861780,0.005,18639,15430,82.78341112720639,6939.358925069148,30,2.1459080431835609e-07,24,1.41268758526603
Coherent,2,3,2620,,3430890,0.001,78855,1077,1.3657979836408598,326.99626465574306,78855,0.0009998106596411276,1077,0.7780617279078028
Coherent,2,3,2620,,3430890,0.005,101348,2403,2.371038402336504,367.4709483242427,80769,0.0011769605425444305,1168,1.0
Coherent,2,3,2620,,3430890,0.01,114037,3684,3.2305304418741283,390.96030180787443,80769,0.0011769605425444305,1168,1.1252022733551723
Dipole,2,3,2620,2620.0,6861780,0.001,5168,4473,86.55185758513932,7294.333586115297,81,5.940042949374683e-07,71,0.39169319387600426
Dipole,2,3,2620,2620.0,6861780,0.005,13194,11439,86.69849931787176,7231.811753116694,81,5.940042949374683e-07,71,1.0
Dipole,2,3,2620,2620.0,6861780,0.01,20480,17781,86.8212890625,7341.201710890015,81,5.940042949374683e-07,71,1.5522207063816886
Coherent,2,5,2620,,3430890,0.005,44945,936,2.0825453331850037,308.91762493376314,25852,0.0003766288681351998,197,0.4434719974740498
Dipole,2,5,2620,2620.0,6861780,0.005,10083,8634,85.62927700089259,7901.006369933246,143,1.0468638727495368e-06,114,0.7642110050022738
Coherent,3,3,2613,,3412578,0.005,124911,13535,10.83571502910072,423.9833869662641,97535,0.0014288436369718142,6711,1.2324959545328966
Dipole,3,3,2613,2604.0,6801655,0.005,40450,35699,88.25463535228677,8009.847207978013,3497,2.5614754596669166e-05,3078,3.065787479157193
